feature,importance_mean,importance_std
thalach,0.11818181818181821,0.06276459144608479
ca,0.11212121212121211,0.052573792645143856
cp,0.11212121212121211,0.02553378719144349
sex,0.10151515151515152,0.027565765755545812
slope,0.08181818181818183,0.03333333333333333
oldpeak,0.07878787878787881,0.039972442297796736
exang,0.07424242424242425,0.04336087279167935
thal,0.06515151515151515,0.03745214271002508
trestbps,0.054545454545454564,0.03263736246748186
restecg,0.050000000000000024,0.027565765755545858
fbs,0.019696969696969685,0.01734170173069636
chol,0.018181818181818177,0.024242424242424242
age,0.010606060606060596,0.014453624263893104
